Name, Latitude, Longitude, Image
"Infotafel Historische Hafenanlage Holzminden",51.826617,9.443349,"http://lh3.googleusercontent.com/ajxmHyNIuhdehtumk4G1lftgTlELD69amCKaEhIOQ7_hyWstqpoL-7KQP7zigaZaP-v43ZhSkeEDUSTdfx0c_n-qQxtV"
"Infotafel Historische Hafenanlage Holzminden 2",51.826452,9.444274,"http://lh3.googleusercontent.com/y06GhcPnx8WZXPA9xGX4RJSBUBLczSVJUM5bShRC-fE8NmjtmHvHtJRJwWiRBY24PhRy9kuM-4ByGTdJUpSzToDFI29c"
"Landkarte der Mountainbike Region",51.826708,9.442891,"http://lh3.googleusercontent.com/NVtfoIfGB6HDdomWN-jYwTVTdlQn5MkVWKD-jp1BdGgRbbWG02Y8Wn6ES5yQBGVIxMSdcY4R-jJczMWhyx5NKB5VzC41"
"Duftsäule Citrusfrüchte",51.827384,9.449158,"http://lh3.googleusercontent.com/jBYnx-YdolmkM4ZuHy1RdcA0piEzyfq02fEmEGehGpC8Ukr4I16Kt36UdtzBCvqC6pucMihspO_6D4i0TvmFFTZ_iw"
"Reichspräsidentenhaus Holzminden",51.827155,9.449207,"http://lh3.googleusercontent.com/KRBtOKHTGt6IDQR134wsK97BCFMv_jRA-pb-bQ1cjBl8WKj4EIYNFw3qfqNx4OSaeI5PT_MlE__sy7O8LKpP2T30WGjc"
"Vivat",51.827194,9.446647,"http://lh3.googleusercontent.com/wuM1mPy6OHNM4u2E6M9y9_1r2QoQolwyIaQsh0uvrtTTsLGf9M6pdmoBZDDEJjwzLhPJlSZq83tORwMCOBBkWHYBv08"
"Alte Schlosserei Von 1754",51.827413,9.447061,"http://lh3.googleusercontent.com/jl2XWsdn5CzU61EaSob3Q2BrSCECVQa0YPR9obPoyILX5tdeILGvAUZIN5N5FByePxAY1mO9D7uvBaH6pSddD4Rhl7k"
"Heinrichs' Ackerbürgerhaus",51.827225,9.447726,"http://lh3.googleusercontent.com/yPw1nKtW85ADsBbN5vknzJR_66y5vZSU85kqwptMsusBAG6SQ8oB086jHF19KkNNpzYsTbVgYWJszdWB--64EqUfCanB"
"Duftsäule Geranium",51.827754,9.446624,"http://lh3.googleusercontent.com/uchKirh2-EPmsSp7ZM7lsaWsUQyOuzqzUsxSkE_sSMwe-hZnwLnaiAuZSetbKeAhZVFbiwa0pfHC4DjmVJyU5W433JtQ"
"Kinderkarussel",51.827766,9.447085,"http://lh3.googleusercontent.com/9fOQsXs_ZEsCY-AG0auQLQvBeNKwfSle2O-QQdc-PgtgJgR7T4OfuFsje9Up8K4Of9fspEnaNXymFVSn_YxR8ycDr6M"
"Wilhelm Raabe Brunnen",51.830079,9.44727,"http://lh3.googleusercontent.com/4xRXDG1uwtdjUKfE0tyGnLcdVXcu1xLk7sBZw5bD3QSA4VBtjgITNlHDG3HXzmUrxdDkM-ZS0XAazC6ZprOZUeSL-w"
"Stadttor Holzminden",51.828616,9.449273,"http://lh3.googleusercontent.com/nFXuRc7Y6Fts5nbFKOMs7A8Y4mf90v_xdaV92eygkroMvTrjtLsWaziHIC50ir-3Gi7oLmMAxtd93Su44KTqqNspBQ"
"Duftsäule Pfefferminz",51.829323,9.449834,"http://lh3.googleusercontent.com/8uOnyngtiZgaXXGEZfQBCbx5aPLVC35vTjPVhhZDxVvi8bUNN-O103PZ6-PN6whLg2A946fTu8D51Gi7FlObGSIMiso"
"Ohren des Hauses",51.828892,9.449086,"http://lh3.googleusercontent.com/ZRoUUA-KfXW9COrZUq0QchsDe9Ptz0b-cOUYrLAwSvGi6Zw4k3RtyDGSC7W8SMOAYz0-dCTPqtJFRPzmScdM8KkyVMs"
"Miniaturmodell Holzminden ",51.828133,9.447218,"http://lh3.googleusercontent.com/OdnVGQLOwbzXm8v298PuMCr1HED7i9LjJoCIk5jAFJ3antLq_SHh1xx6p0fFOWq2DabpcItZtP9ai5FVd0eeyK5F9z9I"
"Gießkanne",51.828509,9.448221,"http://lh3.googleusercontent.com/l1w8ayRjDX_vaVElH2gbf-FQiILCeR-WisceuFJaTlZCnYRy4NU9Cqhl70PWFw2DNknMUDuK_-gX1QNMuvQghEudO1YD"
"Pumpenbrunnen ",51.829774,9.448038,"http://lh3.googleusercontent.com/4pqqwTrZR0HyYlNKY0aAWiOXANCFS2RrFDUL5tU1ekOiYewsJ7rFbItpNaU_0YrDK0yAndRgS3ioXKlFITFTT4VVPdo"
